train_start,train_end,test_start,test_end,horizon_days,realized_cumlog,p05,p95,inside_band,band_width,pit
2020-01-03,2023-01-03,2023-01-04,2023-04-04,63,0.19165790893870152,-0.3303718221442008,0.30926078006635266,True,0.6396326022105534,0.852
2020-02-04,2023-02-02,2023-02-03,2023-05-04,63,-0.08220017448493755,-0.31145165549781834,0.3213646825005634,True,0.6328163379983818,0.335
2020-03-05,2023-03-06,2023-03-07,2023-06-05,63,0.2900792214071106,-0.33895870961357366,0.31377690934589275,True,0.6527356189594664,0.933
2020-04-03,2023-04-04,2023-04-05,2023-07-06,63,0.21092883605057142,-0.29230986312459756,0.3267575338547021,True,0.6190673969792997,0.85
2020-05-05,2023-05-04,2023-05-05,2023-08-04,63,0.29417542085620574,-0.2919598546542034,0.29304372693441827,False,0.5850035815886216,0.951
2020-06-04,2023-06-05,2023-06-06,2023-09-05,63,0.09123893413044207,-0.3339220442658157,0.327520479798524,True,0.6614425240643397,0.676
2020-07-06,2023-07-06,2023-07-07,2023-10-04,63,-0.01065173453806284,-0.3155445015847656,0.30520099472555245,True,0.6207454963103181,0.5
2020-08-04,2023-08-04,2023-08-07,2023-11-02,63,-0.010805464022378038,-0.3202632457287796,0.31657361730267064,True,0.6368368630314503,0.476
2020-09-02,2023-09-05,2023-09-06,2023-12-04,63,0.05367983922554093,-0.33219892949154234,0.27256072091904293,True,0.6047596504105852,0.674
2020-10-02,2023-10-04,2023-10-05,2024-01-04,63,0.12957678352385182,-0.31732970089685814,0.2950900235194025,True,0.6124197244162606,0.776
2020-11-02,2023-11-02,2023-11-03,2024-02-05,63,0.20985943554047076,-0.3060004490400141,0.30810048781923643,True,0.6141009368592505,0.869
2020-12-02,2023-12-04,2023-12-05,2024-03-06,63,0.18060554334090223,-0.3248855022353622,0.29396460271174113,True,0.6188501049471034,0.845
2021-01-04,2024-01-04,2024-01-05,2024-04-05,63,0.24697030148260984,-0.3224878130526661,0.2962094069054684,True,0.6186972199581344,0.912
2021-02-03,2024-02-05,2024-02-06,2024-05-06,63,0.10253814468629505,-0.30476529991088847,0.2993768330954316,True,0.6041421330063201,0.704
2021-03-05,2024-03-06,2024-03-07,2024-06-05,63,0.04380758759138044,-0.31522931721616687,0.3254931348968062,True,0.6407224521129731,0.587
2021-04-06,2024-04-05,2024-04-08,2024-07-08,63,0.07402684519127473,-0.2854286699216505,0.3261255054803616,True,0.6115541754020122,0.591
2021-05-05,2024-05-06,2024-05-07,2024-08-06,63,-0.15299433834735926,-0.2964137668570582,0.32891240235544916,True,0.6253261692125074,0.189
2021-06-04,2024-06-05,2024-06-06,2024-09-05,63,-0.018877412239779904,-0.2938759078464483,0.3097667614020979,True,0.6036426692485461,0.454
2021-07-06,2024-07-08,2024-07-09,2024-10-04,63,-0.06627618915935496,-0.30207163008549215,0.33098582998394366,True,0.6330574600694359,0.333
2021-08-04,2024-08-06,2024-08-07,2024-11-04,63,0.18982747574360184,-0.3385880929279317,0.29096974310670054,True,0.6295578360346322,0.852
2021-09-02,2024-09-05,2024-09-06,2024-12-04,63,0.204063377017563,-0.3117940914586832,0.3212920398979045,True,0.6330861313565876,0.862
2021-10-04,2024-10-04,2024-10-07,2025-01-06,63,0.19914881320268876,-0.3050303201910843,0.2978248224105688,True,0.6028551426016531,0.857
2021-11-02,2024-11-04,2024-11-05,2025-02-06,63,0.19876043583715772,-0.3234111627719032,0.32639221779895206,True,0.6498033805708552,0.831
2021-12-02,2024-12-04,2024-12-05,2025-03-10,63,-0.11459099239388541,-0.2765288561211345,0.3287885817078829,True,0.6053174378290174,0.22
2022-01-03,2025-01-06,2025-01-07,2025-04-08,63,-0.2879603461327112,-0.2965648390800714,0.3229900457360468,True,0.6195548848161182,0.056
2022-02-02,2025-02-06,2025-02-07,2025-05-08,63,-0.21784004798959677,-0.24430707431263585,0.3325434088352347,True,0.5768504831478706,0.063
2022-03-04,2025-03-10,2025-03-11,2025-06-09,63,0.1091674007739363,-0.28276311575975127,0.3362998363280523,True,0.6190629520878036,0.67
2022-04-04,2025-04-08,2025-04-09,2025-07-10,63,0.2641745484755144,-0.2668531864287011,0.3010095743904119,True,0.567862760819113,0.922
2022-05-04,2025-05-08,2025-05-09,2025-08-08,63,0.14786871931504691,-0.2515138988345534,0.33449698390721583,True,0.5860108827417692,0.736
2022-06-03,2025-06-09,2025-06-10,2025-09-09,63,0.09347342828923927,-0.24630056073299653,0.32512584446848397,True,0.5714264052014805,0.596
2022-07-06,2025-07-10,2025-07-11,2025-10-08,63,0.013229864646463745,-0.22569215994020983,0.34294945728784004,True,0.5686416172280498,0.405
2022-08-04,2025-08-08,2025-08-11,2025-11-06,63,0.08744533046211081,-0.2241631977359618,0.3183945557004332,True,0.542557753436395,0.612
2022-09-02,2025-09-09,2025-09-10,2025-12-08,63,-0.04881327614699786,-0.22479731049292326,0.3310308623184052,True,0.5558281728113285,0.263
2022-10-04,2025-10-08,2025-10-09,2026-01-08,63,0.08943196846009967,-0.21481349091240193,0.3446476838141491,True,0.559461174726551,0.573
2022-11-02,2025-11-06,2025-11-07,2026-02-09,63,-0.15223236454593347,-0.17964009037266304,0.3417940469483749,True,0.5214341373210379,0.086
